                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.5601,                 3.9233,                 3.2519,                0.00116,                0.97368,                0.05454,                0.01494,                 2.5401,                 7.6135,                 3.0169,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.5948,                 3.8549,                 3.2154,                0.00107,                0.89474,                0.06807,                0.02374,                 2.5948,                 8.2297,                  3.144,              0.0006536,              0.0006536,              0.0006536
                     37,                  2.661,                 3.7987,                 3.1486,                0.00117,                0.89474,                0.07253,                0.02198,                 2.6637,                 9.0427,                 3.1972,               0.000614,               0.000614,               0.000614
                     38,                 2.6211,                 3.7894,                 3.1716,                0.00119,                0.86842,                0.07787,                0.02293,                 2.6864,                 9.4588,                 3.2281,              0.0005744,              0.0005744,              0.0005744
                     39,                 2.7132,                 3.8341,                 3.2075,                0.00127,                0.89474,                0.07728,                0.01951,                 2.6603,                 8.5562,                 3.1911,              0.0005348,              0.0005348,              0.0005348
                     40,                 2.4789,                 3.8264,                 3.0797,                0.00153,                0.89474,                0.05939,                0.01671,                  2.639,                  6.279,                  3.194,              0.0004952,              0.0004952,              0.0004952
                     41,                 2.7086,                 4.7516,                 3.4706,                0.00222,                0.89474,                0.06084,                0.01428,                 2.6153,                 5.7498,                 3.2297,              0.0004556,              0.0004556,              0.0004556
                     42,                 2.4583,                 5.2836,                 3.0369,                0.00234,                0.39474,                0.00204,                0.00059,                 2.7025,                 5.4315,                 3.4946,               0.000416,               0.000416,               0.000416
                     43,                 2.5897,                  4.284,                 3.0835,                0.00161,                0.21053,                0.00102,                0.00032,                 2.6949,                 5.4486,                 3.6818,              0.0003764,              0.0003764,              0.0003764
                     44,                 2.6731,                 4.5965,                 3.3486,                0.00198,                0.28947,                0.00169,                0.00039,                 2.6383,                 5.4715,                 3.7805,              0.0003368,              0.0003368,              0.0003368
                     45,                 2.5347,                 4.2683,                 3.1633,                0.00293,                0.68421,                0.01693,                0.00395,                 2.7621,                 5.3423,                 3.6534,              0.0002972,              0.0002972,              0.0002972
                     46,                 2.2496,                 3.9333,                 3.0778,                 0.0024,                0.73684,                0.02484,                0.00593,                 2.7037,                  5.273,                 3.4831,              0.0002576,              0.0002576,              0.0002576
                     47,                 2.3903,                 4.1513,                 3.2119,                0.00268,                0.81579,                0.03018,                0.00768,                  2.506,                  5.244,                  3.375,               0.000218,               0.000218,               0.000218
                     48,                 2.3382,                 3.9939,                 3.0283,                0.00322,                0.86842,                0.04789,                0.01268,                 2.3684,                 5.0324,                 3.2629,              0.0001784,              0.0001784,              0.0001784
                     49,                 2.5265,                 3.9703,                 3.0937,                0.00351,                0.92105,                0.04876,                0.01384,                 2.3585,                 4.9898,                  3.245,              0.0001388,              0.0001388,              0.0001388
                     50,                 2.3998,                 3.8629,                 3.1448,                0.00347,                0.92105,                0.04645,                0.01252,                 2.3803,                 4.9171,                 3.2391,               9.92e-05,               9.92e-05,               9.92e-05
